DATE,RECPROUSM156N
2/1/2015,1.46
3/1/2015,1.24
4/1/2015,0.94
5/1/2015,0.96
6/1/2015,0.68
7/1/2015,0.34
8/1/2015,0.34
9/1/2015,0.46
10/1/2015,0.78
11/1/2015,1.18
12/1/2015,0.96
1/1/2016,0.54
2/1/2016,0.74
3/1/2016,0.64
4/1/2016,0.38
5/1/2016,0.28
6/1/2016,0.12
7/1/2016,0.1
8/1/2016,0.18
9/1/2016,0.16
10/1/2016,0.2
11/1/2016,0.16
12/1/2016,0.04
1/1/2017,0.12
2/1/2017,0.14
3/1/2017,0.02
4/1/2017,0
5/1/2017,0.04
6/1/2017,0.04
7/1/2017,0.16
8/1/2017,0.26
9/1/2017,0.04
10/1/2017,0
11/1/2017,0.04
12/1/2017,0.14
1/1/2018,0.3
2/1/2018,0.08
3/1/2018,0.04
4/1/2018,0.02
5/1/2018,0.24
6/1/2018,0.04
7/1/2018,0.1
8/1/2018,0.08
9/1/2018,0.1
10/1/2018,0.26
11/1/2018,0.26
12/1/2018,0.12
1/1/2019,0.64
2/1/2019,0.72
3/1/2019,0.44
4/1/2019,0.84
5/1/2019,0.58
6/1/2019,0.44
7/1/2019,0.38
8/1/2019,0.16
9/1/2019,0.72
10/1/2019,1.08
11/1/2019,0.44
12/1/2019,0.58
1/1/2020,0.2
2/1/2020,0.06
3/1/2020,100
4/1/2020,100
5/1/2020,0.04
6/1/2020,0.02
7/1/2020,0.08
8/1/2020,0
9/1/2020,0
10/1/2020,0.04
11/1/2020,0.16
12/1/2020,0.04
1/1/2021,0
2/1/2021,0
3/1/2021,0
4/1/2021,0.52
5/1/2021,0.18
6/1/2021,0.04
7/1/2021,0.02
8/1/2021,0.3
9/1/2021,0.32
10/1/2021,0
11/1/2021,0.02
12/1/2021,0.16
1/1/2022,0.12
2/1/2022,0.04
3/1/2022,0.16
4/1/2022,0.06
5/1/2022,0.24
6/1/2022,0.24
7/1/2022,0.06
8/1/2022,0.12
9/1/2022,0.28
10/1/2022,1.48
11/1/2022,3.86
12/1/2022,4.96
1/1/2023,4.96
2/1/2023,4.75
